text,label,category,source_model,final_label
I need to pick up milk on the way home from work.,Realistic,Task,llama3,realistic
I wonder what's for lunch today. I hope it's not leftovers again.,Realistic,Thought,llama3,realistic
I'm pretty sure my neighbor is watching me through their window.,Delusional,Paranoia,llama3,delusional
I really need to respond to that email from John. He's been waiting for days.,Realistic,Task,llama3,realistic
I'm certain I locked the front door when I left this morning. Why is it open now?,Delusional,Paranoia,llama3,delusional
"I had a great day at work, but I think I might need to learn more about this new software to do my job better.",Realistic,Self-evaluation,mistral,realistic
The government is monitoring me and they are going to arrest me because of my political views.,Delusional,Paranoia,mistral,delusional
"I'm feeling a bit down today, but I know it will pass soon.",Realistic,Emotion regulation,mistral,realistic
I can feel the presence of ghosts in this house. They are whispering to me.,Delusional,Hallucination,mistral,delusional
"I should start exercising more often, it will help me stay fit and improve my health.",Realistic,Health decision,mistral,realistic
I'm feeling a surge of inspiration. Maybe I should work on that painting I've been putting off.,Realistic,Emotional,gemma,realistic
The government is secretly monitoring everyone's thoughts. I can't trust anyone.,Delusional,Paranoid,gemma,delusional
I need to get more organized. There's just too much chaos in my life.,Realistic,Practical,gemma,realistic
I'm starting to believe that the universe is conspiring against me. It's almost like it wants me to fail.,Delusional,Negative Thinking,gemma,delusional
I'm grateful for the good things in my life. It's important to appreciate the positive moments.,Realistic,Positive Thinking,gemma,realistic
I need to pick up milk on the way home from work,Realistic,Task,llama3,realistic
I wonder what's for dinner tonight?,Realistic,Curiosity,llama3,realistic
I'm really tired and just want to go home and sleep,Realistic,Emotion,llama3,realistic
I bet my coworker is jealous of me for getting the promotion,Delusional,Jealousy,llama3,delusional
I just love the smell of freshly cut grass on a sunny day,Realistic,Appreciation,llama3,realistic
I need to eat healthier to lose weight.,Realistic,Health and Wellness,mistral,realistic
I can feel the energy of other people when I'm in a crowd.,Delusional (Possible Symptom: Empathy),Perception,mistral,delusional
I should study more for this exam to get a good grade.,Realistic,Education,mistral,realistic
The government is controlling my thoughts through television signals.,Delusional (Possible Symptom: Paranoia),Conspiracy Theory,mistral,delusional
I need to save more money for an emergency fund.,Realistic,Finance,mistral,realistic
I'm feeling a surge of inspiration. Maybe I should work on that painting project I've been putting off.,Realistic,Motivation,gemma,realistic
The government is secretly monitoring everyone's online activity. I need to be more careful about what I post on social media.,Delusional,Paranoid,gemma,delusional
I can't believe how expensive groceries have become. I need to find ways to save money or I won't be able to afford food.,Realistic,Financial,gemma,realistic
I keep having dreams about a talking cat who tells me secrets. I must be going crazy.,Delusional,Psychologically Disturbed,gemma,delusional
I'm feeling overwhelmed by all the deadlines I have coming up. I need to prioritize and manage my time better.,Realistic,Productivity,gemma,realistic
I hope I don't forget to pick up milk on the way home.,Realistic,Everyday Concern,llama3,realistic
I wonder what it would be like if aliens visited Earth.,Realistic,Speculation,llama3,realistic
I'm pretty sure I left the stove on when I left for work.,Realistic,Anxiety,llama3,realistic
I'm convinced that my cat is plotting against me.,Delusional,Paranoia,llama3,delusional
What if I win the lottery and suddenly have all the money I need?,Realistic,Daydreaming,llama3,realistic
I need to eat three balanced meals a day for good health.,Realistic,Health,mistral,realistic
I am the best programmer in the world.,Delusional (Exaggeration),Self-Perception,mistral,delusional
I should exercise for at least 30 minutes every day to stay fit.,Realistic,Health,mistral,realistic
People are always talking about me behind my back.,Delusional (Paranoia),Social Interaction,mistral,delusional
I must have a successful career to be happy.,Delusional (Misconception),Happiness,mistral,delusional
I need to get more sleep tonight. I've been feeling exhausted lately.,Realistic,Practical Concerns,gemma,realistic
The government is secretly monitoring everyone's phone calls. I just know it.,Delusional,Paranoid Beliefs,gemma,delusional
I wonder what it would be like to live on Mars. Maybe one day we'll be able to colonize it.,Realistic,Space Exploration,gemma,realistic
I feel like I'm being watched by an unseen force. There's something suspicious about the shadows.,Delusional,Paranoid Beliefs,gemma,delusional
I need to make some changes in my life. I've been feeling stuck in a rut lately.,Realistic,Self-Improvement,gemma,realistic
I wonder what's for dinner tonight.,Realistic,Everyday Thought,llama3,realistic
I'm sure my coworker stole my idea and presented it as their own at the meeting.,Delusional,Work-Related Thought,llama3,delusional
I hope I don't forget to pick up milk on the way home from work.,Realistic,Daily Task,llama3,realistic
The new employee is definitely plotting against me and trying to get me fired.,Delusional,Work-Related Thought,llama3,delusional
I need to make a doctor's appointment next week for my annual check-up.,Realistic,Personal Task,llama3,realistic
I had a productive day at work and I feel great about it.,Realistic,Self-Assessment,mistral,realistic
I'm sure that I will win the lottery next week because I always have good luck with numbers.,Delusional,Superstition,mistral,delusional
I need to eat healthier and exercise more to reduce my risk of heart disease.,Realistic,Health Concerns,mistral,realistic
I believe that the government is secretly monitoring my every move.,Delusional,Conspiracy Theory,mistral,delusional
I should spend more time with my family and friends to strengthen our relationships.,Realistic,Social Relationships,mistral,realistic
I feel a surge of energy today. Maybe it's the fresh air or the warm sunlight.,Realistic,Emotional,gemma,realistic
The birds outside my window are plotting against me. I swear I saw one wink at me just now.,Delusional,Paranoid,gemma,delusional
I need to organize my thoughts. There's so much I want to accomplish today.,Realistic,Cognitive,gemma,realistic
