Scenario,Relationship,Seriousness,Tone,Excuse_Text,Believability_Score
Forgot birthday,Friend,Low,Emotional,"To be honest, I was feeling really overwhelmed with work/stress/family stuff, and your birthday just didn't register on my radar.",1
Forgot birthday,Friend,High,Apologetic,"I know this is no excuse, but I've been dealing with some family issues that have taken up all my mental energy, so I just plain forgot.",4
Missed exam,Academic,Low,Formal,"I received a last-minute call from my boss asking me to work an extra shift at my part-time job, which conflicted with the exam time.",3
Missed meeting,Professional,Low,Apologetic,"I was waiting for a crucial package to arrive from Amazon that never showed up, so I spent the morning trying to track it down.",3
Cancelled date,Romantic,Medium,Emotional,"I had an unexpected appointment that I completely forgot about, and it can't be rescheduled.",3
Missed family event,Family,High,Emotional,"I had a family emergency that required my attention, but everything turned out okay in the end, I promise.",5
Missed meeting,Professional,Medium,Casual,"I received an urgent message from my manager that needed my prompt response, it took longer than expected to resolve.",2
Forgot anniversary,Romantic,Medium,Casual,I accidentally deleted the reminder on my phone when I was decluttering my apps and didn't realize what happened until today.,2
Missed exam,Academic,High,Apologetic,"I had an unavoidable meeting with my academic advisor that ran longer than expected, leaving me no time to get to class.",3
Forgot anniversary,Romantic,High,Emotional,"I was in a meeting that ran way longer than expected and by the time I left, I just couldn't believe how quickly the day had passed without me even thinking about it.",3
Missed exam,Academic,Medium,Emotional,"My grandmother passed away last night and I had to take care of some family matters today, I know this is an unexpected reason but I hope you can understand the importance of being with my family during a difficult time.",2
Forgot birthday,Friend,Medium,Casual,I had a bunch of errands to run yesterday and was completely focused on getting them all done - sorry!,2
Missed family event,Family,Medium,Emotional,"I regret missing our family gathering so much, but my internet was down at home and I didn't have any way of knowing about the change in plans until it was too late to make it.",4
Cancelled plans,Friend,Low,Emotional,The power went out in my apartment building and I had to wait for someone to come fix it â€“ no one could've predicted that!,3
Late project submission,Professional,High,Emotional,"My computer crashed last week and it took days to get it fixed and all my files restored, which put me behind schedule.",4
Missed exam,Academic,Low,Casual,Here are ten different natural human-like excuses for missing an exam:,1
Forgot birthday,Friend,Low,Emotional,"I was so caught up in my own life drama, I completely spaced out your special day and didn't even think about it until now.",2
Didn’t attend family dinner,Family,Medium,Casual,"I had to take care of some personal errands that took longer than expected, but I'll make up for it next time.",3
Late to class,Academic,High,Emotional,"I know it's not an excuse, but I was dealing with a personal issue that took longer than expected to resolve and I didn't want to be distracted in class.",3
Forgot anniversary,Romantic,High,Apologetic,"I was going over some old files and got completely absorbed in the project, lost track of time, and before I knew it, the day slipped away from me.",5
